Trace Type	Burst Size	RW Ratio	Bandwidth (GB/s)	Utilization (%)
-------------------------------------------------------------------------------------
seq		64B		1.0		5.87			91.67
seq		64B		0.5		3.31			51.79
seq		64B		0.0		5.82			90.88
seq		128B		1.0		5.78			90.28
seq		128B		0.5		4.16			64.95
seq		128B		0.0		5.76			89.97
seq		256B		1.0		5.51			86.03
seq		256B		0.5		4.71			73.57
seq		256B		0.0		5.48			85.55
rand		64B		1.0		4.50			70.36
rand		64B		0.5		3.51			54.86
rand		64B		0.0		4.11			64.22
rand		128B		1.0		4.51			70.46
rand		128B		0.5		3.87			60.52
rand		128B		0.0		4.20			65.57
rand		256B		1.0		3.30			51.54
rand		256B		0.5		3.22			50.38
rand		256B		0.0		3.17			49.53
